"","s7","s14","s4","s5","s6","s20","s22","s1","s2","s3","s8","s9","s10","s11","s12","s13","s15","s16","s17","s18","s19","s21","s23","s24","s25","s26","s27","s28"
"s7",0,2,4,3,5,3,3,2,6,3,5,1,2,3,1,4,3,5,3,2,0,1,1,1,1,3,3,1
"s14",2,0,7,10,7,6,7,5,5,9,6,6,4,6,6,10,7,15,3,5,0,3,1,7,2,9,5,6
"s4",4,7,0,11,13,14,11,12,6,11,12,11,3,10,9,18,11,15,4,6,2,2,2,9,4,9,8,3
"s5",3,10,11,0,7,9,9,8,5,12,8,7,4,7,6,12,8,16,3,7,1,3,2,7,4,9,4,5
"s6",5,7,13,7,0,12,9,11,8,8,16,5,5,9,7,14,8,13,4,4,1,3,1,4,2,7,8,2
"s20",3,6,14,9,12,0,14,23,6,5,14,16,3,6,4,13,5,12,4,3,1,3,1,15,2,5,7,5
"s22",3,7,11,9,9,14,0,13,5,8,9,8,5,11,10,10,5,16,5,5,3,4,2,12,5,8,10,4
"s1",2,5,12,8,11,23,13,0,5,5,12,11,4,4,3,11,6,11,4,3,2,2,1,14,2,5,6,5
"s2",6,5,6,5,8,6,5,5,0,4,8,2,4,6,4,6,4,8,6,3,1,2,1,3,2,5,4,2
"s3",3,9,11,12,8,5,8,5,4,0,9,5,4,10,10,13,15,13,2,10,2,3,2,4,5,10,6,3
"s8",5,6,12,8,16,14,9,12,8,9,0,10,7,8,6,14,9,13,6,5,3,3,1,7,3,7,11,2
"s9",1,6,11,7,5,16,8,11,2,5,10,0,1,2,1,10,4,8,2,3,0,2,0,15,1,4,7,4
"s10",2,4,3,4,5,3,5,4,4,4,7,1,0,3,3,4,4,5,4,3,3,3,1,2,2,3,4,2
"s11",3,6,10,7,9,6,11,4,6,10,8,2,3,0,20,10,7,12,4,5,3,2,1,2,7,8,7,2
"s12",1,6,9,6,7,4,10,3,4,10,6,1,3,20,0,8,7,11,3,5,3,2,1,1,6,7,6,2
"s13",4,10,18,12,14,13,10,11,6,13,14,10,4,10,8,0,12,17,5,6,1,3,1,8,3,12,9,4
"s15",3,7,11,8,8,5,5,6,4,15,9,4,4,7,7,12,0,10,2,9,2,2,2,4,4,8,6,2
"s16",5,15,15,16,13,12,16,11,8,13,13,8,5,12,11,17,10,0,5,7,2,3,2,10,4,10,8,5
"s17",3,3,4,3,4,4,5,4,6,2,6,2,4,4,3,5,2,5,0,2,2,2,1,3,2,4,5,2
"s18",2,5,6,7,4,3,5,3,3,10,5,3,3,5,5,6,9,7,2,0,2,3,2,4,4,5,5,2
"s19",0,0,2,1,1,1,3,2,1,2,3,0,3,3,3,1,2,2,2,2,0,1,1,1,3,0,3,0
"s21",1,3,2,3,3,3,4,2,2,3,3,2,3,2,2,3,2,3,2,3,1,0,1,2,2,3,4,3
"s23",1,1,2,2,1,1,2,1,1,2,1,0,1,1,1,1,2,2,1,2,1,1,0,0,1,1,2,1
"s24",1,7,9,7,4,15,12,14,3,4,7,15,2,2,1,8,4,10,3,4,1,2,0,0,1,5,6,4
"s25",1,2,4,4,2,2,5,2,2,5,3,1,2,7,6,3,4,4,2,4,3,2,1,1,0,3,5,1
"s26",3,9,9,9,7,5,8,5,5,10,7,4,3,8,7,12,8,10,4,5,0,3,1,5,3,0,6,4
"s27",3,5,8,4,8,7,10,6,4,6,11,7,4,7,6,9,6,8,5,5,3,4,2,6,5,6,0,3
"s28",1,6,3,5,2,5,4,5,2,3,2,4,2,2,2,4,2,5,2,2,0,3,1,4,1,4,3,0
